"Guid","CurrencyIsoCode","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
0292adcc-bc35-447a-8a79-266c040404d5,USD,"#N/A","#N/A","#N/A",109dd2af-0246-43ce-926c-1d37094cde9b,false,cb20f3d8-9c36-4543-9364-0093dad90f40,Hide & Remove,"#N/A","#N/A","#N/A"
0481b6ef-25ea-49e4-8e59-79eac033123b,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,54ca54f5-a205-4ae0-b57d-ee21da476531,Remove,"#N/A","#N/A","#N/A"
058bb57a-8160-4bb5-95a7-bec748ec2a15,USD,"#N/A","#N/A","#N/A",11fc2741-a475-4c7e-a5ad-e642d0acfd1a,false,12e534e7-521e-4b48-b0f6-cfb92961f6b0,Remove,"#N/A","#N/A","#N/A"
078fb774-b864-4046-b707-f0f1ff26cb6f,USD,"#N/A","#N/A","#N/A",ae6f8353-10c7-4ade-b234-8b555e8c114e,false,3b7d2056-3123-498c-ab9d-b6b8a97e2431,Show & Add,"#N/A","#N/A","#N/A"
08672369-24f5-43db-80c8-e86d361f6574,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,0148be78-32a1-4392-a657-4a4ce93fb530,Remove,"#N/A","#N/A","#N/A"
0ffa07b2-551a-4303-8211-8e4243b6c369,USD,"#N/A","#N/A","#N/A",ed1c2de8-a656-4999-a615-288702367f96,false,b63f62fd-121b-48aa-a1db-3a0c651fc7e0,Show & Add,"#N/A","#N/A","#N/A"
1121d61b-2220-4c70-a041-4173031a1c64,USD,"#N/A","#N/A","#N/A",8c7ec11c-572a-4f3f-b378-1bad2f089fb4,false,51a9e740-01b4-4161-ae1a-7901370d3731,Remove,"#N/A","#N/A","#N/A"
1915d42f-bbe7-4fa0-84a6-e6db59314760,USD,"#N/A","#N/A","#N/A",11fc2741-a475-4c7e-a5ad-e642d0acfd1a,false,51a9e740-01b4-4161-ae1a-7901370d3731,Show & Add,"#N/A","#N/A","#N/A"
1b4b455f-740a-4fbd-83ab-996900053b68,USD,"#N/A","#N/A","#N/A",629312f4-eb08-4d13-96bc-68db51aa3e3a,false,9d519fe6-d0ad-4495-8a03-a120ccd7853b,Hide & Remove,"#N/A","#N/A","#N/A"
1c9331d2-d9fa-4636-a02b-116f5765fc57,USD,"#N/A","#N/A","#N/A",cae82e7b-bc55-4b44-a2cd-58fe9a62c646,false,d43a33eb-ddcc-42ab-a59b-a54c78dbb860,Hide & Remove,"#N/A","#N/A","#N/A"
1e4e3449-25c5-4570-8939-59ea2768d1fa,USD,"#N/A","#N/A","#N/A",1edfdb01-0fec-4f54-9004-a1548d155037,false,6695f60c-d019-4b51-81b7-af512d65ae90,Hide & Remove,"#N/A","#N/A","#N/A"
205ff2ec-4e93-480f-aa62-66f74d2af512,USD,"#N/A","#N/A","#N/A",a474b155-91e3-464e-ac9e-e333a180fc46,false,bf2a5689-68ef-4956-804c-0e521cc5b0e6,Hide & Remove,"#N/A","#N/A","#N/A"
22f29a43-f4c3-4e1e-bd00-79deeeae03ff,USD,"#N/A","#N/A","#N/A",1f4da963-19a1-495c-ac43-2a7c723cd87b,false,29fed211-4736-449a-9de4-d7e031ecd13d,Hide & Remove,"#N/A","#N/A","#N/A"
26484061-bc03-4fe5-88e5-a643caebe600,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,e60394f0-27b4-4ee4-a95a-328289f49019,Add,"#N/A","#N/A","#N/A"
2aa409bf-1d61-4438-aa0a-636faa94008e,USD,"#N/A","#N/A","#N/A",530eb599-17e2-4f00-9d99-bc6a778e695c,false,12e534e7-521e-4b48-b0f6-cfb92961f6b0,Remove,"#N/A","#N/A","#N/A"
30157f99-a719-4ec7-b201-1fd0d2feb1e9,USD,"#N/A","#N/A","#N/A",62932448-67d1-4044-8961-5fce2eae0fbb,false,2aa9e706-7b46-4229-8093-dcbac6a088d1,Hide & Remove,"#N/A","#N/A","#N/A"
308d8b04-0468-4110-9655-f878a0c3248d,USD,"#N/A","#N/A","#N/A",e17162c1-47aa-4914-9c79-41307c52b3a6,false,12e534e7-521e-4b48-b0f6-cfb92961f6b0,Remove,"#N/A","#N/A","#N/A"
31b07b44-41ed-4e50-b939-c8d00ff751d1,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,2e925465-826f-4525-94ea-07d5ca1660ee,Remove,"#N/A","#N/A","#N/A"
36540e4a-9b22-4698-ac82-4554fae97b6b,USD,"#N/A","#N/A","#N/A",530eb599-17e2-4f00-9d99-bc6a778e695c,false,51a9e740-01b4-4161-ae1a-7901370d3731,Remove,"#N/A","#N/A","#N/A"
398a5221-af8b-4f7c-abfa-c03b8935a7f2,USD,"#N/A","#N/A","#N/A",b2f341c6-f308-42ce-add0-9190cf45d086,false,3b7d2056-3123-498c-ab9d-b6b8a97e2431,Remove,"#N/A","#N/A","#N/A"
3baa1e3a-37f3-4388-83d3-85d9d1dad5c3,USD,"#N/A","#N/A","#N/A",dcc93b7e-542a-442f-8eb0-74874865a761,false,e60394f0-27b4-4ee4-a95a-328289f49019,Add,"#N/A","#N/A","#N/A"
